County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
Harrison County,West Virginia,Percent Female,(X),4.70%,6.00%,6.10%,5.40%,5.60%,5.50%,5.90%,5.80%,6.40%,5.90%,6.40%,8.00%,5.90%,5.70%,6.40%,4.40%,2.00%,4.00%,12.10%,4.00%,20.80%,7.00%,34.60%,81.20%,79.20%,77.40%,28.30%,25.90%,22.40%,10.30%
Kanawha County,West Virginia,Total,"175,515","8,264","10,355","8,998","10,903","9,682","10,393","10,376","10,172","11,558","10,545","11,313","10,651","13,007","12,293","11,513","7,281","4,245","3,966","19,353","6,687","34,304","13,898","63,084","145,698","141,211","134,277","52,305","47,341","39,298","15,492"
Kanawha County,West Virginia,Percent,(X),4.70%,5.90%,5.10%,6.20%,5.50%,5.90%,5.90%,5.80%,6.60%,6.00%,6.40%,6.10%,7.40%,7.00%,6.60%,4.10%,2.40%,2.30%,11.00%,3.80%,19.50%,7.90%,35.90%,83.00%,80.50%,76.50%,29.80%,27.00%,22.40%,8.80%
Kanawha County,West Virginia,Male,"84,533","4,359","4,816","4,693","5,169","4,994","5,311","5,169","4,837","5,824","5,294","5,709","5,542","5,664","5,772","5,033","3,130","1,800","1,417","9,509","3,115","16,983","7,048","31,304","69,891","67,550","63,731","22,816","20,611","17,152","6,347"
Kanawha County,West Virginia,Percent Male,(X),5.20%,5.70%,5.60%,6.10%,5.90%,6.30%,6.10%,5.70%,6.90%,6.30%,6.80%,6.60%,6.70%,6.80%,6.00%,3.70%,2.10%,1.70%,11.20%,3.70%,20.10%,8.30%,37.00%,82.70%,79.90%,75.40%,27.00%,24.40%,20.30%,7.50%
Kanawha County,West Virginia,Female,"90,982","3,905","5,539","4,305","5,734","4,688","5,082","5,207","5,335","5,734","5,251","5,604","5,109","7,343","6,521","6,480","4,151","2,445","2,549","9,844","3,572","17,321","6,850","31,780","75,807","73,661","70,546","29,489","26,730","22,146","9,145"
Kanawha County,West Virginia,Percent Female,(X),4.30%,6.10%,4.70%,6.30%,5.20%,5.60%,5.70%,5.90%,6.30%,5.80%,6.20%,5.60%,8.10%,7.20%,7.10%,4.60%,2.70%,2.80%,10.80%,3.90%,19.00%,7.50%,34.90%,83.30%,81.00%,77.50%,32.40%,29.40%,24.30%,10.10%
Monongalia County,West Virginia,Total,"106,869","4,768","4,603","4,978","10,105","16,469","8,986","8,055","7,819","5,984","5,062","5,230","4,745","5,645","4,605","4,436","2,644","1,854",881,"9,581","2,893","17,242","23,681","57,418","91,484","89,627","77,870","20,065","18,149","14,420","5,379"
Monongalia County,West Virginia,Percent,(X),4.50%,4.30%,4.70%,9.50%,15.40%,8.40%,7.50%,7.30%,5.60%,4.70%,4.90%,4.40%,5.30%,4.30%,4.20%,2.50%,1.70%,0.80%,9.00%,2.70%,16.10%,22.20%,53.70%,85.60%,83.90%,72.90%,18.80%,17.00%,13.50%,5.00%
Monongalia County,West Virginia,Male,"55,418","2,829","2,618","2,344","5,336","8,697","5,013","4,145","5,044","2,178","2,629","2,690","2,497","2,600","2,263","2,224","1,297",697,317,"4,962","1,716","9,507","12,317","30,413","47,031","45,911","40,015","9,398","8,517","6,798","2,311"
Monongalia County,West Virginia,Percent Male,(X),5.10%,4.70%,4.20%,9.60%,15.70%,9.00%,7.50%,9.10%,3.90%,4.70%,4.90%,4.50%,4.70%,4.10%,4.00%,2.30%,1.30%,0.60%,9.00%,3.10%,17.20%,22.20%,54.90%,84.90%,82.80%,72.20%,17.00%,15.40%,12.30%,4.20%
Monongalia County,West Virginia,Female,"51,451","1,939","1,985","2,634","4,769","7,772","3,973","3,910","2,775","3,806","2,433","2,540","2,248","3,045","2,342","2,212","1,347","1,157",564,"4,619","1,177","7,735","11,364","27,005","44,453","43,716","37,855","10,667","9,632","7,622","3,068"
Monongalia County,West Virginia,Percent Female,(X),3.80%,3.90%,5.10%,9.30%,15.10%,7.70%,7.60%,5.40%,7.40%,4.70%,4.90%,4.40%,5.90%,4.60%,4.30%,2.60%,2.20%,1.10%,9.00%,2.30%,15.00%,22.10%,52.50%,86.40%,85.00%,73.60%,20.70%,18.70%,14.80%,6.00%
Raleigh County,West Virginia,Total,"72,882","3,343","4,628","4,287","5,536","3,580","3,799","4,708","4,279","4,706","4,512","4,378","3,884","4,484","5,183","4,922","3,105","2,258","1,290","8,915","3,075","15,333","6,041","26,608","59,427","57,549","53,865","21,242","19,737","16,758","6,653"
Raleigh County,West Virginia,Percent,(X),4.60%,6.30%,5.90%,7.60%,4.90%,5.20%,6.50%,5.90%,6.50%,6.20%,6.00%,5.30%,6.20%,7.10%,6.80%,4.30%,3.10%,1.80%,12.20%,4.20%,21.00%,8.30%,36.50%,81.50%,79.00%,73.90%,29.10%,27.10%,23.00%,9.10%
Raleigh County,West Virginia,Male,"36,230",918,"2,487","2,372","2,679","2,094","2,070","2,725","2,407","2,254","2,426","2,340","1,690","2,160","2,570","2,254","1,510",647,627,"4,859","1,640","7,417","3,133","14,229","29,980","28,813","27,156","9,768","9,290","7,608","2,784"
Raleigh County,West Virginia,Percent Male,(X),2.50%,6.90%,6.50%,7.40%,5.80%,5.70%,7.50%,6.60%,6.20%,6.70%,6.50%,4.70%,6.00%,7.10%,6.20%,4.20%,1.80%,1.70%,13.40%,4.50%,20.50%,8.60%,39.30%,82.70%,79.50%,75.00%,27.00%,25.60%,21.00%,7.70%
Raleigh County,West Virginia,Female,"36,652","2,425","2,141","1,915","2,857","1,486","1,729","1,983","1,872","2,452","2,086","2,038","2,194","2,324","2,613","2,668","1,595","1,611",663,"4,056","1,435","7,916","2,908","12,379","29,447","28,736","26,709","11,474","10,447","9,150","3,869"
Raleigh County,West Virginia,Percent Female,(X),6.60%,5.80%,5.20%,7.80%,4.10%,4.70%,5.40%,5.10%,6.70%,5.70%,5.60%,6.00%,6.30%,7.10%,7.30%,4.40%,4.40%,1.80%,11.10%,3.90%,21.60%,7.90%,33.80%,80.30%,78.40%,72.90%,31.30%,28.50%,25.00%,10.60%
Wood County,West Virginia,Total,"83,340","4,548","4,578","4,963","4,946","4,454","4,541","4,876","4,928","4,839","5,157","5,457","6,057","5,857","5,939","4,378","3,304","2,516","2,002","9,541","3,150","17,239","6,250","28,584","68,302","66,101","63,556","23,996","21,784","18,139","7,822"
Wood County,West Virginia,Percent,(X),5.50%,5.50%,6.00%,5.90%,5.30%,5.40%,5.90%,5.90%,5.80%,6.20%,6.50%,7.30%,7.00%,7.10%,5.30%,4.00%,3.00%,2.40%,11.40%,3.80%,20.70%,7.50%,34.30%,82.00%,79.30%,76.30%,28.80%,26.10%,21.80%,9.40%
Wood County,West Virginia,Male,"40,816","2,430","2,104","2,653","2,535","2,352","2,217","2,435","2,779","2,100","2,545","2,797","3,314","2,556","3,211","1,629","1,324","1,155",680,"4,757","1,652","8,839","3,235","14,418","33,196","31,977","30,747","10,555","9,503","7,999","3,159"
Wood County,West Virginia,Percent Male,(X),6.00%,5.20%,6.50%,6.20%,5.80%,5.40%,6.00%,6.80%,5.10%,6.20%,6.90%,8.10%,6.30%,7.90%,4.00%,3.20%,2.80%,1.70%,11.70%,4.00%,21.70%,7.90%,35.30%,81.30%,78.30%,75.30%,25.90%,23.30%,19.60%,7.70%
Wood County,West Virginia,Female,"42,524","2,118","2,474","2,310","2,411","2,102","2,324","2,441","2,149","2,739","2,612","2,660","2,743","3,301","2,728","2,749","1,980","1,361","1,322","4,784","1,498","8,400","3,015","14,166","35,106","34,124","32,809","13,441","12,281","10,140","4,663"
Wood County,West Virginia,Percent Female,(X),5.00%,5.80%,5.40%,5.70%,4.90%,5.50%,5.70%,5.10%,6.40%,6.10%,6.30%,6.50%,7.80%,6.40%,6.50%,4.70%,3.20%,3.10%,11.30%,3.50%,19.80%,7.10%,33.30%,82.60%,80.20%,77.20%,31.60%,28.90%,23.80%,11.00%
Tennessee,Tennessee,Total,"7,051,339","402,215","422,122","439,813","446,948","472,131","471,280","492,908","458,980","450,035","417,500","450,229","449,565","459,649","399,555","329,988","233,975","137,964","116,482","861,935","270,983","1,535,133","648,096","2,792,282","5,699,603","5,516,206","5,244,890","1,677,613","1,494,371","1,217,964","488,421"
Tennessee,Tennessee,Percent,(X),5.70%,6.00%,6.20%,6.30%,6.70%,6.70%,7.00%,6.50%,6.40%,5.90%,6.40%,6.40%,6.50%,5.70%,4.70%,3.30%,2.00%,1.70%,12.20%,3.80%,21.80%,9.20%,39.60%,80.80%,78.20%,74.40%,23.80%,21.20%,17.30%,6.90%
Tennessee,Tennessee,Male,"3,462,618","206,317","217,274","226,099","227,859","240,010","235,006","244,484","227,697","222,291","209,768","223,052","221,444","219,131","184,549","154,265","103,674","57,526","42,172","443,373","137,910","787,600","329,959","1,397,347","2,768,908","2,675,018","2,535,202","761,317","673,659","542,186","203,372"
Tennessee,Tennessee,Percent Male,(X),6.00%,6.30%,6.50%,6.60%,6.90%,6.80%,7.10%,6.60%,6.40%,6.10%,6.40%,6.40%,6.30%,5.30%,4.50%,3.00%,1.70%,1.20%,12.80%,4.00%,22.70%,9.50%,40.40%,80.00%,77.30%,73.20%,22.00%,19.50%,15.70%,5.90%
Tennessee,Tennessee,Female,"3,588,721","195,898","204,848","213,714","219,089","232,121","236,274","248,424","231,283","227,744","207,732","227,177","228,121","240,518","215,006","175,723","130,301","80,438","74,310","418,562","133,073","747,533","318,137","1,394,935","2,930,695","2,841,188","2,709,688","916,296","820,712","675,778","285,049"
Tennessee,Tennessee,Percent Female,(X),5.50%,5.70%,6.00%,6.10%,6.50%,6.60%,6.90%,6.40%,6.30%,5.80%,6.30%,6.40%,6.70%,6.00%,4.90%,3.60%,2.20%,2.10%,11.70%,3.70%,20.80%,8.90%,38.90%,81.70%,79.20%,75.50%,25.50%,22.90%,18.80%,7.90%
Anderson County,Tennessee,Total,"78,913","3,991","4,386","4,847","4,939","4,905","4,774","5,204","4,028","5,055","4,551","5,527","5,715","5,500","4,432","4,500","3,179","1,663","1,717","9,233","3,288","16,512","6,556","28,905","64,622","62,401","60,337","20,991","18,701","15,491","6,559"
Anderson County,Tennessee,Percent,(X),5.10%,5.60%,6.10%,6.30%,6.20%,6.00%,6.60%,5.10%,6.40%,5.80%,7.00%,7.20%,7.00%,5.60%,5.70%,4.00%,2.10%,2.20%,11.70%,4.20%,20.90%,8.30%,36.60%,81.90%,79.10%,76.50%,26.60%,23.70%,19.60%,8.30%
Anderson County,Tennessee,Male,"39,237","2,233","2,311","2,276","2,585","2,454","2,435","2,829","2,109","2,553","2,109","2,741","2,522","2,962","2,065","2,167","1,283",822,781,"4,587","1,718","8,538","3,321","14,965","31,736","30,699","29,510","10,080","8,734","7,118","2,886"
Anderson County,Tennessee,Percent Male,(X),5.70%,5.90%,5.80%,6.60%,6.30%,6.20%,7.20%,5.40%,6.50%,5.40%,7.00%,6.40%,7.50%,5.30%,5.50%,3.30%,2.10%,2.00%,11.70%,4.40%,21.80%,8.50%,38.10%,80.90%,78.20%,75.20%,25.70%,22.30%,18.10%,7.40%
Anderson County,Tennessee,Female,"39,676","1,758","2,075","2,571","2,354","2,451","2,339","2,375","1,919","2,502","2,442","2,786","3,193","2,538","2,367","2,333","1,896",841,936,"4,646","1,570","7,974","3,235","13,940","32,886","31,702","30,827","10,911","9,967","8,373","3,673"
Anderson County,Tennessee,Percent Female,(X),4.40%,5.20%,6.50%,5.90%,6.20%,5.90%,6.00%,4.80%,6.30%,6.20%,7.00%,8.00%,6.40%,6.00%,5.90%,4.80%,2.10%,2.40%,11.70%,4.00%,20.10%,8.20%,35.10%,82.90%,79.90%,77.70%,27.50%,25.10%,21.10%,9.30%
Blount County,Tennessee,Total,"139,958","7,002","7,605","7,778","7,342","7,986","8,859","8,553","6,999","9,594","7,903","10,120","9,618","10,774","9,815","7,973","5,677","3,495","2,865","15,383","5,289","27,674","10,039","49,333","115,798","112,284","107,973","40,599","36,036","29,825","12,037"
Blount County,Tennessee,Percent,(X),5.00%,5.40%,5.60%,5.20%,5.70%,6.30%,6.10%,5.00%,6.90%,5.60%,7.20%,6.90%,7.70%,7.00%,5.70%,4.10%,2.50%,2.00%,11.00%,3.80%,19.80%,7.20%,35.20%,82.70%,80.20%,77.10%,29.00%,25.70%,21.30%,8.60%
Blount County,Tennessee,Male,"68,650","3,687","3,635","4,657","3,659","4,129","4,332","4,353","2,980","5,155","3,933","5,085","5,052","4,781","4,163","3,766","2,662","1,483","1,138","8,292","2,803","14,782","4,985","24,608","55,812","53,868","52,565","17,993","15,928","13,212","5,283"
Blount County,Tennessee,Percent Male,(X),5.40%,5.30%,6.80%,5.30%,6.00%,6.30%,6.30%,4.30%,7.50%,5.70%,7.40%,7.40%,7.00%,6.10%,5.50%,3.90%,2.20%,1.70%,12.10%,4.10%,21.50%,7.30%,35.80%,81.30%,78.50%,76.60%,26.20%,23.20%,19.20%,7.70%
Blount County,Tennessee,Female,"71,308","3,315","3,970","3,121","3,683","3,857","4,527","4,200","4,019","4,439","3,970","5,035","4,566","5,993","5,652","4,207","3,015","2,012","1,727","7,091","2,486","12,892","5,054","24,725","59,986","58,416","55,408","22,606","20,108","16,613","6,754"
Blount County,Tennessee,Percent Female,(X),4.60%,5.60%,4.40%,5.20%,5.40%,6.30%,5.90%,5.60%,6.20%,5.60%,7.10%,6.40%,8.40%,7.90%,5.90%,4.20%,2.80%,2.40%,9.90%,3.50%,18.10%,7.10%,34.70%,84.10%,81.90%,77.70%,31.70%,28.20%,23.30%,9.50%
Bradley County,Tennessee,Total,"110,616","5,866","7,525","6,309","7,416","7,306","6,336","8,087","6,481","6,394","7,099","7,805","6,872","7,794","6,598","4,887","3,217","2,740","1,884","13,834","4,119","23,819","10,603","42,020","89,916","86,797","82,436","27,120","23,441","19,326","7,841"
Bradley County,Tennessee,Percent,(X),5.30%,6.80%,5.70%,6.70%,6.60%,5.70%,7.30%,5.90%,5.80%,6.40%,7.10%,6.20%,7.00%,6.00%,4.40%,2.90%,2.50%,1.70%,12.50%,3.70%,21.50%,9.60%,38.00%,81.30%,78.50%,74.50%,24.50%,21.20%,17.50%,7.10%
Bradley County,Tennessee,Male,"53,527","2,867","3,739","3,270","4,042","3,295","2,991","4,211","3,730","2,735","3,552","3,828","3,158","3,868","2,851","2,237","1,411","1,161",581,"7,009","2,322","12,198","5,015","21,004","43,093","41,329","39,137","12,109","10,679","8,241","3,153"
Bradley County,Tennessee,Percent Male,(X),5.40%,7.00%,6.10%,7.60%,6.20%,5.60%,7.90%,7.00%,5.10%,6.60%,7.20%,5.90%,7.20%,5.30%,4.20%,2.60%,2.20%,1.10%,13.10%,4.30%,22.80%,9.40%,39.20%,80.50%,77.20%,73.10%,22.60%,20.00%,15.40%,5.90%
Bradley County,Tennessee,Female,"57,089","2,999","3,786","3,039","3,374","4,011","3,345","3,876","2,751","3,659","3,547","3,977","3,714","3,926","3,747","2,650","1,806","1,579","1,303","6,825","1,797","11,621","5,588","21,016","46,823","45,468","43,299","15,011","12,762","11,085","4,688"
Bradley County,Tennessee,Percent Female,(X),5.30%,6.60%,5.30%,5.90%,7.00%,5.90%,6.80%,4.80%,6.40%,6.20%,7.00%,6.50%,6.90%,6.60%,4.60%,3.20%,2.80%,2.30%,12.00%,3.10%,20.40%,9.80%,36.80%,82.00%,79.60%,75.80%,26.30%,22.40%,19.40%,8.20%
Davidson County,Tennessee,Total,"708,144","44,880","38,007","36,030","38,663","52,502","72,319","71,874","57,746","45,124","39,177","39,590","37,562","40,185","32,390","26,324","17,660","8,774","9,337","74,037","21,622","140,539","69,543","338,228","580,652","567,605","541,291","134,670","118,523","94,485","35,771"
Davidson County,Tennessee,Percent,(X),6.30%,5.40%,5.10%,5.50%,7.40%,10.20%,10.10%,8.20%,6.40%,5.50%,5.60%,5.30%,5.70%,4.60%,3.70%,2.50%,1.20%,1.30%,10.50%,3.10%,19.80%,9.80%,47.80%,82.00%,80.20%,76.40%,19.00%,16.70%,13.30%,5.10%
Davidson County,Tennessee,Male,"341,794","22,544","19,758","17,648","19,080","24,452","34,536","35,400","31,279","20,560","19,834","19,318","18,186","18,601","14,131","12,622","7,652","2,998","3,195","37,406","10,806","70,756","32,726","165,307","278,161","271,038","259,111","59,199","50,656","40,598","13,845"
Davidson County,Tennessee,Percent Male,(X),6.60%,5.80%,5.20%,5.60%,7.20%,10.10%,10.40%,9.20%,6.00%,5.80%,5.70%,5.30%,5.40%,4.10%,3.70%,2.20%,0.90%,0.90%,10.90%,3.20%,20.70%,9.60%,48.40%,81.40%,79.30%,75.80%,17.30%,14.80%,11.90%,4.10%
Davidson County,Tennessee,Female,"366,350","22,336","18,249","18,382","19,583","28,050","37,783","36,474","26,467","24,564","19,343","20,272","19,376","21,584","18,259","13,702","10,008","5,776","6,142","36,631","10,816","69,783","36,817","172,921","302,491","296,567","282,180","75,471","67,867","53,887","21,926"
Davidson County,Tennessee,Percent Female,(X),6.10%,5.00%,5.00%,5.30%,7.70%,10.30%,10.00%,7.20%,6.70%,5.30%,5.50%,5.30%,5.90%,5.00%,3.70%,2.70%,1.60%,1.70%,10.00%,3.00%,19.00%,10.00%,47.20%,82.60%,81.00%,77.00%,20.60%,18.50%,14.70%,6.00%
Greene County,Tennessee,Total,"71,405","3,459","3,217","4,151","4,483","4,327","4,315","4,014","3,756","4,109","4,256","4,723","5,557","5,330","4,631","4,492","3,716","2,005",864,"7,368","2,527","13,354","6,283","25,004","59,502","58,051","54,953","21,038","19,923","15,708","6,585"
Greene County,Tennessee,Percent,(X),4.80%,4.50%,5.80%,6.30%,6.10%,6.00%,5.60%,5.30%,5.80%,6.00%,6.60%,7.80%,7.50%,6.50%,6.30%,5.20%,2.80%,1.20%,10.30%,3.50%,18.70%,8.80%,35.00%,83.30%,81.30%,77.00%,29.50%,27.90%,22.00%,9.20%
Greene County,Tennessee,Male,"35,669","1,585","1,804","2,456","2,525","2,277","2,235","1,942","1,728","2,091","2,140","2,385","2,336","2,966","2,603","1,624","1,639",854,479,"4,260","1,325","7,170","3,477","12,798","29,446","28,499","26,607","10,165","9,719","7,199","2,972"
Greene County,Tennessee,Percent Male,(X),4.40%,5.10%,6.90%,7.10%,6.40%,6.30%,5.40%,4.80%,5.90%,6.00%,6.70%,6.50%,8.30%,7.30%,4.60%,4.60%,2.40%,1.30%,11.90%,3.70%,20.10%,9.70%,35.90%,82.60%,79.90%,74.60%,28.50%,27.20%,20.20%,8.30%
Greene County,Tennessee,Female,"35,736","1,874","1,413","1,695","1,958","2,050","2,080","2,072","2,028","2,018","2,116","2,338","3,221","2,364","2,028","2,868","2,077","1,151",385,"3,108","1,202","6,184","2,806","12,206","30,056","29,552","28,346","10,873","10,204","8,509","3,613"
Greene County,Tennessee,Percent Female,(X),5.20%,4.00%,4.70%,5.50%,5.70%,5.80%,5.80%,5.70%,5.60%,5.90%,6.50%,9.00%,6.60%,5.70%,8.00%,5.80%,3.20%,1.10%,8.70%,3.40%,17.30%,7.90%,34.20%,84.10%,82.70%,79.30%,30.40%,28.60%,23.80%,10.10%
Hamblen County,Tennessee,Total,"65,168","3,875","3,758","4,131","4,078","4,798","3,467","4,435","3,313","4,247","4,429","4,694","3,970","4,510","3,430","3,198","2,671","1,151","1,013","7,889","2,857","14,621","6,019","24,338","51,791","50,547","48,437","15,973","14,744","11,463","4,835"
Hamblen County,Tennessee,Percent,(X),5.90%,5.80%,6.30%,6.30%,7.40%,5.30%,6.80%,5.10%,6.50%,6.80%,7.20%,6.10%,6.90%,5.30%,4.90%,4.10%,1.80%,1.60%,12.10%,4.40%,22.40%,9.20%,37.30%,79.50%,77.60%,74.30%,24.50%,22.60%,17.60%,7.40%
