LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER,Years as Customers,STORE_NBR
34249,OLDER SINGLES/COUPLES,Premium,12,34
34250,OLDER SINGLES/COUPLES,Premium,4,34
34251,RETIREES,Mainstream,15,34
34253,RETIREES,Budget,11,34
34256,YOUNG SINGLES/COUPLES,Budget,10,34
34258,YOUNG SINGLES/COUPLES,Mainstream,7,34
34259,RETIREES,Premium,7,34
34261,RETIREES,Budget,10,34
34262,RETIREES,Mainstream,11,34
34263,RETIREES,Premium,11,34
34266,YOUNG FAMILIES,Premium,4,34
34267,NEW FAMILIES,Mainstream,13,34
34268,OLDER FAMILIES,Mainstream,15,34
34271,RETIREES,Mainstream,7,34
34272,YOUNG SINGLES/COUPLES,Mainstream,10,34
34273,OLDER FAMILIES,Budget,10,34
34275,OLDER FAMILIES,Mainstream,7,34
34276,YOUNG SINGLES/COUPLES,Mainstream,3,34
34277,OLDER FAMILIES,Premium,1,34
34279,OLDER SINGLES/COUPLES,Mainstream,15,34
34280,RETIREES,Mainstream,1,34
34281,OLDER FAMILIES,Mainstream,8,34
34283,YOUNG SINGLES/COUPLES,Mainstream,10,34
34284,YOUNG FAMILIES,Budget,1,34
34286,MIDAGE SINGLES/COUPLES,Mainstream,2,34
34287,OLDER SINGLES/COUPLES,Mainstream,7,34
34288,RETIREES,Mainstream,2,34
34289,YOUNG SINGLES/COUPLES,Mainstream,9,34
34290,YOUNG SINGLES/COUPLES,Mainstream,9,34
34291,YOUNG SINGLES/COUPLES,Mainstream,3,34
34293,YOUNG FAMILIES,Budget,9,34
34295,OLDER SINGLES/COUPLES,Budget,10,34
34298,OLDER SINGLES/COUPLES,Budget,14,34
34299,YOUNG SINGLES/COUPLES,Budget,2,34
34300,OLDER FAMILIES,Budget,12,34
34301,OLDER SINGLES/COUPLES,Budget,13,34
34304,YOUNG FAMILIES,Mainstream,4,34
34305,YOUNG SINGLES/COUPLES,Budget,3,34
34307,YOUNG FAMILIES,Mainstream,9,34
34309,YOUNG FAMILIES,Budget,1,34
34310,OLDER SINGLES/COUPLES,Mainstream,6,34
34312,MIDAGE SINGLES/COUPLES,Mainstream,13,34
34313,RETIREES,Budget,10,34
34314,YOUNG SINGLES/COUPLES,Budget,7,34
34315,MIDAGE SINGLES/COUPLES,Mainstream,2,34
34316,MIDAGE SINGLES/COUPLES,Budget,11,34
34317,OLDER SINGLES/COUPLES,Budget,2,34
34318,YOUNG SINGLES/COUPLES,Mainstream,3,34
34320,OLDER FAMILIES,Budget,1,34
34321,RETIREES,Premium,9,34
34322,YOUNG SINGLES/COUPLES,Mainstream,1,34
34323,YOUNG SINGLES/COUPLES,Mainstream,10,34
34325,OLDER SINGLES/COUPLES,Mainstream,12,34
34326,OLDER SINGLES/COUPLES,Premium,4,34
34327,RETIREES,Budget,15,34
34328,RETIREES,Premium,2,34
34329,OLDER SINGLES/COUPLES,Mainstream,15,34
34333,YOUNG SINGLES/COUPLES,Mainstream,8,34
34335,OLDER SINGLES/COUPLES,Premium,3,34
34336,YOUNG SINGLES/COUPLES,Premium,7,34
34337,RETIREES,Budget,15,34
34338,MIDAGE SINGLES/COUPLES,Budget,9,34
34339,RETIREES,Budget,10,34
34340,YOUNG SINGLES/COUPLES,Premium,1,34
34341,RETIREES,Mainstream,14,34
34342,YOUNG SINGLES/COUPLES,Mainstream,10,34
34343,YOUNG SINGLES/COUPLES,Budget,10,34
34344,RETIREES,Mainstream,11,34
34345,RETIREES,Premium,1,34
34347,OLDER SINGLES/COUPLES,Mainstream,12,34
34348,YOUNG FAMILIES,Budget,7,34
34349,YOUNG SINGLES/COUPLES,Budget,6,34
34350,OLDER SINGLES/COUPLES,Premium,8,34
34351,YOUNG FAMILIES,Budget,3,34
34352,MIDAGE SINGLES/COUPLES,Budget,4,34
34353,MIDAGE SINGLES/COUPLES,Premium,9,34
34354,OLDER SINGLES/COUPLES,Budget,12,34
34356,YOUNG SINGLES/COUPLES,Mainstream,6,34
34357,RETIREES,Budget,10,34
34359,YOUNG FAMILIES,Mainstream,2,34
34360,YOUNG SINGLES/COUPLES,Mainstream,7,34
34361,MIDAGE SINGLES/COUPLES,Premium,11,34
34362,YOUNG SINGLES/COUPLES,Mainstream,4,34
34363,YOUNG SINGLES/COUPLES,Premium,8,34
34364,OLDER SINGLES/COUPLES,Mainstream,3,34
35000,MIDAGE SINGLES/COUPLES,Premium,9,35
35001,YOUNG SINGLES/COUPLES,Budget,2,35
35004,YOUNG SINGLES/COUPLES,Budget,1,35
35006,YOUNG SINGLES/COUPLES,Mainstream,6,35
35010,YOUNG FAMILIES,Mainstream,4,35
35011,YOUNG FAMILIES,Premium,4,35
35012,OLDER SINGLES/COUPLES,Premium,10,35
35013,OLDER SINGLES/COUPLES,Budget,8,35
35015,YOUNG FAMILIES,Budget,4,35
35016,YOUNG FAMILIES,Premium,10,35
35018,OLDER SINGLES/COUPLES,Mainstream,6,35
35022,YOUNG SINGLES/COUPLES,Mainstream,1,35
35023,RETIREES,Mainstream,14,35
35024,MIDAGE SINGLES/COUPLES,Mainstream,4,35
35027,NEW FAMILIES,Mainstream,12,35
35028,YOUNG SINGLES/COUPLES,Mainstream,3,35
35033,YOUNG FAMILIES,Mainstream,10,35
35035,RETIREES,Mainstream,9,35
35037,OLDER SINGLES/COUPLES,Budget,1,35
35039,RETIREES,Premium,7,35
35042,YOUNG SINGLES/COUPLES,Budget,1,35
35047,YOUNG SINGLES/COUPLES,Budget,8,35
35051,RETIREES,Budget,11,35
35052,YOUNG SINGLES/COUPLES,Budget,4,35
35054,RETIREES,Mainstream,4,35
35055,OLDER SINGLES/COUPLES,Budget,11,35
35056,YOUNG FAMILIES,Mainstream,3,35
35060,YOUNG SINGLES/COUPLES,Premium,4,35
35063,OLDER SINGLES/COUPLES,Budget,15,35
35067,YOUNG SINGLES/COUPLES,Mainstream,3,35
35069,OLDER SINGLES/COUPLES,Mainstream,6,35
35070,OLDER SINGLES/COUPLES,Mainstream,4,35
35072,YOUNG SINGLES/COUPLES,Budget,7,35
35073,YOUNG FAMILIES,Mainstream,7,35
35075,MIDAGE SINGLES/COUPLES,Mainstream,3,35
35077,RETIREES,Mainstream,7,35
35079,RETIREES,Premium,13,35
35080,RETIREES,Mainstream,5,35
35082,OLDER FAMILIES,Budget,9,35
35084,YOUNG SINGLES/COUPLES,Premium,8,35
35085,OLDER FAMILIES,Premium,5,35
35086,YOUNG SINGLES/COUPLES,Mainstream,3,35
35087,RETIREES,Mainstream,12,35
35088,MIDAGE SINGLES/COUPLES,Mainstream,2,35
35090,RETIREES,Mainstream,11,35
35092,NEW FAMILIES,Mainstream,15,35
35096,RETIREES,Mainstream,15,35
35100,YOUNG SINGLES/COUPLES,Budget,7,35
35101,YOUNG SINGLES/COUPLES,Mainstream,6,35
35105,RETIREES,Mainstream,1,35
35107,MIDAGE SINGLES/COUPLES,Premium,7,35
35109,YOUNG SINGLES/COUPLES,Mainstream,1,35
35116,RETIREES,Mainstream,1,35
35117,OLDER SINGLES/COUPLES,Mainstream,11,35
35119,OLDER FAMILIES,Premium,14,35
35120,OLDER FAMILIES,Budget,6,35
35123,YOUNG SINGLES/COUPLES,Budget,3,35
35124,YOUNG SINGLES/COUPLES,Premium,8,35
35125,YOUNG SINGLES/COUPLES,Mainstream,8,35
35126,OLDER SINGLES/COUPLES,Premium,15,35
35129,RETIREES,Budget,6,35
35130,YOUNG SINGLES/COUPLES,Budget,3,35
35131,YOUNG SINGLES/COUPLES,Budget,4,35
35132,MIDAGE SINGLES/COUPLES,Mainstream,2,35
35135,OLDER SINGLES/COUPLES,Budget,10,35
35140,MIDAGE SINGLES/COUPLES,Budget,8,35
35141,OLDER SINGLES/COUPLES,Budget,7,35
35142,MIDAGE SINGLES/COUPLES,Budget,2,35
35143,RETIREES,Mainstream,1,35
35145,YOUNG SINGLES/COUPLES,Premium,1,35
35147,OLDER SINGLES/COUPLES,Premium,9,35
35148,YOUNG SINGLES/COUPLES,Premium,5,35
35149,YOUNG SINGLES/COUPLES,Premium,3,35
35151,YOUNG SINGLES/COUPLES,Budget,1,35
35153,RETIREES,Mainstream,1,35
35154,YOUNG SINGLES/COUPLES,Mainstream,7,35
35155,YOUNG FAMILIES,Budget,2,35
35157,RETIREES,Mainstream,12,35
35158,NEW FAMILIES,Mainstream,14,35
35159,YOUNG FAMILIES,Mainstream,2,35
35162,RETIREES,Premium,14,35
35164,YOUNG SINGLES/COUPLES,Premium,4,35
35166,OLDER SINGLES/COUPLES,Mainstream,12,35
35168,OLDER SINGLES/COUPLES,Budget,15,35
35169,OLDER SINGLES/COUPLES,Budget,15,35
35170,OLDER FAMILIES,Mainstream,5,35
35173,RETIREES,Budget,3,35
35174,RETIREES,Mainstream,4,35
35176,YOUNG SINGLES/COUPLES,Mainstream,2,35
35177,OLDER SINGLES/COUPLES,Mainstream,10,35
35178,RETIREES,Budget,10,35
35181,OLDER SINGLES/COUPLES,Budget,7,35
35183,OLDER FAMILIES,Mainstream,2,35
35184,YOUNG SINGLES/COUPLES,Mainstream,1,35
35185,YOUNG SINGLES/COUPLES,Budget,3,35
35186,OLDER FAMILIES,Mainstream,2,35
35187,RETIREES,Budget,11,35
35188,RETIREES,Premium,3,35
35190,YOUNG SINGLES/COUPLES,Premium,10,35
35191,OLDER FAMILIES,Premium,8,35
35192,YOUNG SINGLES/COUPLES,Mainstream,9,35
35193,YOUNG FAMILIES,Premium,9,35
35194,RETIREES,Mainstream,2,35
35195,OLDER SINGLES/COUPLES,Premium,8,35
35199,OLDER FAMILIES,Mainstream,7,35
35200,OLDER FAMILIES,Mainstream,11,35
35201,MIDAGE SINGLES/COUPLES,Premium,9,35
35202,YOUNG SINGLES/COUPLES,Mainstream,2,35
35205,OLDER SINGLES/COUPLES,Premium,6,35
35206,YOUNG SINGLES/COUPLES,Premium,6,35
35209,YOUNG SINGLES/COUPLES,Premium,8,35
35210,RETIREES,Mainstream,11,35
35213,MIDAGE SINGLES/COUPLES,Mainstream,4,35
35214,YOUNG SINGLES/COUPLES,Mainstream,6,35
35215,RETIREES,Mainstream,12,35
35216,OLDER FAMILIES,Premium,11,35
35217,RETIREES,Mainstream,5,35
35219,OLDER SINGLES/COUPLES,Budget,7,35
35220,YOUNG FAMILIES,Premium,7,35
35224,RETIREES,Budget,14,35
35225,OLDER SINGLES/COUPLES,Premium,14,35
35226,YOUNG SINGLES/COUPLES,Budget,8,35
35231,RETIREES,Premium,4,35
35232,YOUNG SINGLES/COUPLES,Premium,7,35
35234,OLDER FAMILIES,Mainstream,10,35
35239,YOUNG FAMILIES,Budget,8,35
35240,YOUNG SINGLES/COUPLES,Mainstream,1,35
35241,RETIREES,Mainstream,3,35
35242,OLDER FAMILIES,Budget,6,35
35245,YOUNG SINGLES/COUPLES,Budget,2,35
35248,MIDAGE SINGLES/COUPLES,Mainstream,13,35
35249,OLDER SINGLES/COUPLES,Mainstream,6,35
35250,OLDER SINGLES/COUPLES,Budget,15,35
35251,YOUNG SINGLES/COUPLES,Mainstream,2,35
35252,YOUNG SINGLES/COUPLES,Premium,4,35
35254,YOUNG SINGLES/COUPLES,Mainstream,6,35
35255,RETIREES,Budget,5,35
35256,YOUNG SINGLES/COUPLES,Mainstream,5,35
35257,OLDER SINGLES/COUPLES,Premium,8,35
35259,RETIREES,Mainstream,7,35
35261,OLDER FAMILIES,Budget,8,35
35264,OLDER SINGLES/COUPLES,Mainstream,14,35
35265,YOUNG SINGLES/COUPLES,Mainstream,6,35
35266,YOUNG SINGLES/COUPLES,Mainstream,8,35
35268,RETIREES,Premium,13,35
35271,OLDER SINGLES/COUPLES,Mainstream,6,35
35273,RETIREES,Budget,4,35
35274,YOUNG SINGLES/COUPLES,Budget,6,35
35276,YOUNG FAMILIES,Budget,4,35
35277,NEW FAMILIES,Budget,2,35
35278,YOUNG SINGLES/COUPLES,Budget,4,35
35279,YOUNG SINGLES/COUPLES,Mainstream,9,35
35280,OLDER FAMILIES,Premium,14,35
35281,YOUNG SINGLES/COUPLES,Mainstream,2,35
35283,MIDAGE SINGLES/COUPLES,Premium,3,35
35285,OLDER SINGLES/COUPLES,Mainstream,11,35
35287,YOUNG SINGLES/COUPLES,Premium,1,35
35289,MIDAGE SINGLES/COUPLES,Premium,1,35
35290,OLDER FAMILIES,Budget,13,35
35293,YOUNG SINGLES/COUPLES,Mainstream,7,35
35294,YOUNG SINGLES/COUPLES,Mainstream,10,35
35295,OLDER SINGLES/COUPLES,Mainstream,2,35
35297,OLDER SINGLES/COUPLES,Budget,2,35
35298,RETIREES,Premium,6,35
35302,YOUNG SINGLES/COUPLES,Budget,3,35
35306,YOUNG FAMILIES,Budget,8,35
35307,RETIREES,Mainstream,5,35
35308,OLDER SINGLES/COUPLES,Mainstream,4,35
35311,MIDAGE SINGLES/COUPLES,Mainstream,11,35
35312,OLDER SINGLES/COUPLES,Mainstream,14,35
35313,OLDER SINGLES/COUPLES,Budget,7,35
35314,YOUNG FAMILIES,Mainstream,9,35
35315,YOUNG SINGLES/COUPLES,Mainstream,9,35
35316,MIDAGE SINGLES/COUPLES,Budget,6,35
35317,OLDER SINGLES/COUPLES,Premium,12,35
35318,NEW FAMILIES,Premium,9,35
35319,YOUNG FAMILIES,Premium,5,35
35320,MIDAGE SINGLES/COUPLES,Mainstream,7,35
35321,YOUNG FAMILIES,Budget,10,35
35326,OLDER SINGLES/COUPLES,Premium,7,35
35327,YOUNG SINGLES/COUPLES,Premium,9,35
35328,OLDER SINGLES/COUPLES,Budget,8,35
35330,YOUNG SINGLES/COUPLES,Premium,7,35
35331,YOUNG SINGLES/COUPLES,Budget,8,35
35333,YOUNG SINGLES/COUPLES,Mainstream,8,35
35335,OLDER FAMILIES,Budget,4,35
35336,YOUNG SINGLES/COUPLES,Budget,6,35
35337,RETIREES,Mainstream,5,35
35339,YOUNG FAMILIES,Mainstream,6,35
35340,OLDER SINGLES/COUPLES,Mainstream,8,35
35342,OLDER SINGLES/COUPLES,Budget,6,35
35343,RETIREES,Budget,15,35
35345,RETIREES,Mainstream,12,35
35347,RETIREES,Premium,3,35
35348,YOUNG FAMILIES,Budget,2,35
35349,YOUNG SINGLES/COUPLES,Budget,7,35
35351,YOUNG SINGLES/COUPLES,Mainstream,9,35
35354,MIDAGE SINGLES/COUPLES,Mainstream,1,35
35355,RETIREES,Budget,3,35
35356,OLDER FAMILIES,Budget,13,35
35357,RETIREES,Budget,5,35
35358,RETIREES,Budget,5,35
35359,MIDAGE SINGLES/COUPLES,Budget,9,35
35362,YOUNG SINGLES/COUPLES,Budget,3,35
35363,OLDER SINGLES/COUPLES,Premium,5,35
35365,OLDER SINGLES/COUPLES,Budget,1,35
35366,YOUNG SINGLES/COUPLES,Mainstream,9,35
35367,YOUNG SINGLES/COUPLES,Budget,9,35
35369,OLDER SINGLES/COUPLES,Mainstream,9,35
35373,YOUNG FAMILIES,Mainstream,10,35
35374,RETIREES,Premium,14,35
35375,OLDER SINGLES/COUPLES,Mainstream,15,35
35379,OLDER FAMILIES,Budget,3,35
35382,OLDER SINGLES/COUPLES,Premium,2,35
35383,YOUNG FAMILIES,Mainstream,1,35
35386,RETIREES,Budget,2,35
35387,OLDER FAMILIES,Budget,14,35
35388,YOUNG SINGLES/COUPLES,Mainstream,6,35
35390,YOUNG SINGLES/COUPLES,Mainstream,8,35
35391,RETIREES,Premium,3,35
35392,RETIREES,Premium,11,35
35394,RETIREES,Mainstream,3,35
35397,OLDER FAMILIES,Mainstream,9,35
35398,OLDER SINGLES/COUPLES,Budget,10,35
35399,YOUNG SINGLES/COUPLES,Budget,7,35
35402,YOUNG FAMILIES,Mainstream,8,35
35403,YOUNG FAMILIES,Premium,3,35
35404,YOUNG SINGLES/COUPLES,Budget,4,35
35405,YOUNG FAMILIES,Budget,2,35
35406,OLDER FAMILIES,Budget,11,35
35407,MIDAGE SINGLES/COUPLES,Mainstream,3,35
35408,MIDAGE SINGLES/COUPLES,Mainstream,12,35
35409,MIDAGE SINGLES/COUPLES,Mainstream,8,35
35410,YOUNG SINGLES/COUPLES,Premium,8,35
35411,YOUNG SINGLES/COUPLES,Premium,6,35
35413,RETIREES,Budget,6,35
35414,MIDAGE SINGLES/COUPLES,Budget,11,35
35417,YOUNG SINGLES/COUPLES,Mainstream,9,35
35418,OLDER FAMILIES,Budget,10,35
35420,RETIREES,Premium,12,35
35422,RETIREES,Mainstream,6,35
35423,YOUNG SINGLES/COUPLES,Mainstream,7,35
35424,YOUNG SINGLES/COUPLES,Mainstream,6,35
35425,OLDER SINGLES/COUPLES,Budget,2,35
35426,RETIREES,Budget,15,35
35427,OLDER SINGLES/COUPLES,Mainstream,2,35
35428,YOUNG SINGLES/COUPLES,Premium,9,35
35430,YOUNG SINGLES/COUPLES,Mainstream,4,35
35431,YOUNG FAMILIES,Premium,8,35
35434,YOUNG SINGLES/COUPLES,Budget,1,35
35435,OLDER SINGLES/COUPLES,Mainstream,5,35
35437,YOUNG FAMILIES,Budget,5,35
35438,YOUNG FAMILIES,Mainstream,10,35
35439,YOUNG SINGLES/COUPLES,Mainstream,10,35
35440,OLDER SINGLES/COUPLES,Premium,13,35
35445,OLDER FAMILIES,Budget,5,35
35446,YOUNG SINGLES/COUPLES,Budget,3,35
35447,RETIREES,Budget,11,35
35448,YOUNG FAMILIES,Budget,5,35
35450,OLDER SINGLES/COUPLES,Mainstream,2,35
35453,RETIREES,Premium,10,35
35457,YOUNG FAMILIES,Mainstream,4,35
35458,MIDAGE SINGLES/COUPLES,Premium,13,35
35459,YOUNG SINGLES/COUPLES,Mainstream,3,35
35460,YOUNG FAMILIES,Mainstream,8,35
35461,OLDER SINGLES/COUPLES,Budget,2,35
35462,YOUNG FAMILIES,Premium,7,35
35464,RETIREES,Premium,14,35
35465,OLDER FAMILIES,Mainstream,13,35
35468,RETIREES,Budget,11,35
35470,OLDER SINGLES/COUPLES,Budget,12,35
35473,YOUNG SINGLES/COUPLES,Budget,9,35
35475,YOUNG SINGLES/COUPLES,Premium,4,35
35476,YOUNG SINGLES/COUPLES,Premium,8,35
35479,OLDER SINGLES/COUPLES,Budget,14,35
35482,YOUNG SINGLES/COUPLES,Mainstream,8,35
35483,OLDER SINGLES/COUPLES,Premium,3,35
35484,YOUNG FAMILIES,Mainstream,6,35
35486,YOUNG SINGLES/COUPLES,Budget,3,35
35490,OLDER SINGLES/COUPLES,Premium,14,35
35491,YOUNG SINGLES/COUPLES,Mainstream,1,35
35492,OLDER SINGLES/COUPLES,Premium,6,35
35493,YOUNG SINGLES/COUPLES,Mainstream,4,35
36000,RETIREES,Mainstream,3,36
36001,OLDER SINGLES/COUPLES,Mainstream,6,36
36002,RETIREES,Mainstream,8,36
36003,OLDER SINGLES/COUPLES,Budget,2,36
36004,RETIREES,Premium,9,36
36005,MIDAGE SINGLES/COUPLES,Mainstream,7,36
36006,YOUNG FAMILIES,Mainstream,7,36
36007,YOUNG SINGLES/COUPLES,Budget,10,36
36008,MIDAGE SINGLES/COUPLES,Mainstream,5,36
36009,OLDER FAMILIES,Premium,10,36
36010,RETIREES,Budget,13,36
36011,MIDAGE SINGLES/COUPLES,Budget,7,36
36012,MIDAGE SINGLES/COUPLES,Budget,8,36
36013,YOUNG FAMILIES,Budget,9,36
36014,YOUNG FAMILIES,Premium,1,36
36015,RETIREES,Premium,2,36
36016,YOUNG SINGLES/COUPLES,Budget,5,36
36017,YOUNG SINGLES/COUPLES,Premium,8,36
36018,YOUNG SINGLES/COUPLES,Mainstream,9,36
36019,OLDER SINGLES/COUPLES,Premium,12,36
36020,RETIREES,Budget,4,36
36021,YOUNG SINGLES/COUPLES,Mainstream,6,36
36022,OLDER SINGLES/COUPLES,Premium,3,36
36023,OLDER SINGLES/COUPLES,Budget,13,36
36024,RETIREES,Mainstream,3,36
36025,OLDER SINGLES/COUPLES,Premium,9,36
36026,NEW FAMILIES,Mainstream,8,36
36027,YOUNG FAMILIES,Budget,1,36
36028,OLDER FAMILIES,Mainstream,6,36
36029,OLDER SINGLES/COUPLES,Mainstream,6,36
36030,RETIREES,Budget,6,36
36031,YOUNG SINGLES/COUPLES,Mainstream,5,36
36032,OLDER SINGLES/COUPLES,Premium,1,36
36033,OLDER SINGLES/COUPLES,Budget,9,36
36034,YOUNG SINGLES/COUPLES,Mainstream,6,36
36035,YOUNG SINGLES/COUPLES,Mainstream,4,36
36036,RETIREES,Premium,15,36
36037,OLDER SINGLES/COUPLES,Budget,14,36
36038,MIDAGE SINGLES/COUPLES,Budget,15,36
36039,OLDER SINGLES/COUPLES,Premium,1,36
36040,YOUNG SINGLES/COUPLES,Mainstream,8,36
36041,OLDER SINGLES/COUPLES,Premium,1,36
36043,YOUNG SINGLES/COUPLES,Mainstream,1,36
36044,NEW FAMILIES,Mainstream,14,36
36045,OLDER SINGLES/COUPLES,Budget,3,36
36046,MIDAGE SINGLES/COUPLES,Mainstream,3,36
36047,OLDER SINGLES/COUPLES,Budget,5,36
36048,YOUNG SINGLES/COUPLES,Premium,4,36
36049,MIDAGE SINGLES/COUPLES,Budget,6,36
36050,YOUNG SINGLES/COUPLES,Mainstream,2,36
36051,OLDER SINGLES/COUPLES,Mainstream,10,36
36052,YOUNG FAMILIES,Budget,10,36
36053,RETIREES,Budget,2,36
36054,RETIREES,Premium,4,36
36055,YOUNG FAMILIES,Budget,1,36
36056,OLDER SINGLES/COUPLES,Mainstream,9,36
36057,RETIREES,Budget,2,36
36059,OLDER FAMILIES,Budget,13,36
36060,RETIREES,Premium,11,36
36061,RETIREES,Budget,13,36
36062,YOUNG SINGLES/COUPLES,Mainstream,5,36
36063,RETIREES,Mainstream,8,36
36064,MIDAGE SINGLES/COUPLES,Mainstream,3,36
36065,YOUNG FAMILIES,Mainstream,1,36
36066,MIDAGE SINGLES/COUPLES,Mainstream,11,36
36067,OLDER SINGLES/COUPLES,Premium,5,36
36068,RETIREES,Premium,11,36
36069,RETIREES,Budget,9,36
36070,OLDER FAMILIES,Budget,11,36
36071,YOUNG SINGLES/COUPLES,Mainstream,8,36
36072,OLDER SINGLES/COUPLES,Budget,1,36
36073,OLDER SINGLES/COUPLES,Premium,6,36
36074,RETIREES,Premium,8,36
36075,YOUNG FAMILIES,Budget,2,36
36076,YOUNG SINGLES/COUPLES,Mainstream,9,36
36077,YOUNG FAMILIES,Mainstream,2,36
36078,OLDER SINGLES/COUPLES,Mainstream,13,36
36079,YOUNG SINGLES/COUPLES,Mainstream,3,36
36080,OLDER SINGLES/COUPLES,Premium,15,36
36081,YOUNG FAMILIES,Budget,2,36
36082,YOUNG SINGLES/COUPLES,Mainstream,1,36
36083,YOUNG FAMILIES,Budget,6,36
36084,YOUNG FAMILIES,Premium,3,36
36085,YOUNG FAMILIES,Mainstream,4,36
36086,RETIREES,Budget,2,36
36087,YOUNG SINGLES/COUPLES,Mainstream,9,36
36088,MIDAGE SINGLES/COUPLES,Mainstream,15,36
36089,RETIREES,Premium,15,36
36090,YOUNG SINGLES/COUPLES,Mainstream,8,36
36091,OLDER SINGLES/COUPLES,Budget,9,36
36092,MIDAGE SINGLES/COUPLES,Mainstream,7,36
36093,RETIREES,Premium,13,36
36094,OLDER SINGLES/COUPLES,Mainstream,8,36
36095,OLDER FAMILIES,Mainstream,13,36
36096,RETIREES,Mainstream,5,36
36097,RETIREES,Budget,8,36
36098,YOUNG SINGLES/COUPLES,Mainstream,7,36
36099,OLDER SINGLES/COUPLES,Mainstream,11,36
36100,RETIREES,Premium,13,36
36101,OLDER FAMILIES,Mainstream,12,36
36102,YOUNG SINGLES/COUPLES,Budget,5,36
36103,RETIREES,Mainstream,14,36
36104,YOUNG FAMILIES,Budget,1,36
36105,OLDER SINGLES/COUPLES,Budget,8,36
36106,OLDER FAMILIES,Budget,6,36
36107,RETIREES,Premium,3,36
36108,OLDER SINGLES/COUPLES,Premium,13,36
36109,RETIREES,Mainstream,6,36
36110,OLDER SINGLES/COUPLES,Mainstream,11,36
36111,OLDER SINGLES/COUPLES,Premium,14,36
36112,YOUNG SINGLES/COUPLES,Mainstream,9,36
36113,OLDER SINGLES/COUPLES,Budget,4,36
36114,MIDAGE SINGLES/COUPLES,Premium,4,36
36115,NEW FAMILIES,Budget,2,36
36116,RETIREES,Budget,4,36
36117,OLDER FAMILIES,Mainstream,8,36
36118,RETIREES,Mainstream,2,36
36119,OLDER SINGLES/COUPLES,Premium,5,36
36120,RETIREES,Budget,3,36
36121,RETIREES,Mainstream,10,36
36123,RETIREES,Mainstream,11,36
36124,OLDER FAMILIES,Budget,1,36
36125,OLDER FAMILIES,Mainstream,7,36
36126,YOUNG SINGLES/COUPLES,Mainstream,9,36
36127,OLDER SINGLES/COUPLES,Mainstream,2,36
36128,YOUNG SINGLES/COUPLES,Mainstream,7,36
36129,OLDER SINGLES/COUPLES,Budget,15,36
36130,YOUNG SINGLES/COUPLES,Mainstream,5,36
36131,YOUNG SINGLES/COUPLES,Premium,5,36
36132,OLDER SINGLES/COUPLES,Premium,10,36
36133,MIDAGE SINGLES/COUPLES,Mainstream,1,36
36134,YOUNG SINGLES/COUPLES,Mainstream,4,36
36135,YOUNG FAMILIES,Budget,8,36
36136,RETIREES,Mainstream,12,36
36137,YOUNG SINGLES/COUPLES,Mainstream,1,36
36138,OLDER FAMILIES,Premium,14,36
36139,OLDER FAMILIES,Budget,4,36
36140,YOUNG SINGLES/COUPLES,Mainstream,5,36
