LYLTY_CARD_NBR,Years as Customers,LIFESTAGE,PREMIUM_CUSTOMER,STORE_NBR
1182,7,YOUNG SINGLES/COUPLES,Budget,1
1183,9,YOUNG SINGLES/COUPLES,Budget,1
1184, 2,MIDAGE SINGLES/COUPLES,Budget,1
1186, 3,NEW FAMILIES,Budget,1
1187, 9,YOUNG FAMILIES,Budget,1
1188, 13,RETIREES,Mainstream,1
1189, 5,RETIREES,Budget,1
1190, 1,OLDER FAMILIES,Budget,1
1191,2,YOUNG SINGLES/COUPLES,Mainstream,1
1192,8,YOUNG SINGLES/COUPLES,Budget,1
1193,8,YOUNG SINGLES/COUPLES,Mainstream,1
1196, 3,YOUNG FAMILIES,Premium,1
1197, 12,RETIREES,Premium,1
1199, 8,RETIREES,Mainstream,1
1201, 3,OLDER SINGLES/COUPLES,Mainstream,1
1202, 6,YOUNG FAMILIES,Premium,1
1203, 10,OLDER FAMILIES,Mainstream,1
1205, 12,RETIREES,Premium,1
1206, 5,NEW FAMILIES,Mainstream,1
1209, 7,MIDAGE SINGLES/COUPLES,Premium,1
1210,1,YOUNG SINGLES/COUPLES,Mainstream,1
1211, 15,OLDER SINGLES/COUPLES,Premium,1
1212, 3,NEW FAMILIES,Mainstream,1
1216, 15,OLDER FAMILIES,Mainstream,1
1218, 2,OLDER SINGLES/COUPLES,Budget,1
1219, 5,OLDER SINGLES/COUPLES,Premium,1
1223, 9,OLDER SINGLES/COUPLES,Mainstream,1
1224, 8,MIDAGE SINGLES/COUPLES,Mainstream,1
1225,6,YOUNG SINGLES/COUPLES,Budget,1
1226, 3,OLDER FAMILIES,Budget,1
1228, 5,MIDAGE SINGLES/COUPLES,Mainstream,1
1229,5,YOUNG SINGLES/COUPLES,Premium,1
1232, 9,RETIREES,Mainstream,1
1233, 3,YOUNG FAMILIES,Mainstream,1
1235, 11,OLDER FAMILIES,Budget,1
1236, 7,MIDAGE SINGLES/COUPLES,Mainstream,1
1238, 3,OLDER SINGLES/COUPLES,Premium,1
1239, 3,OLDER FAMILIES,Mainstream,1
1240, 3,OLDER SINGLES/COUPLES,Premium,1
1241, 1,RETIREES,Mainstream,1
1242, 15,OLDER SINGLES/COUPLES,Budget,1
1243, 5,YOUNG FAMILIES,Budget,1
1244, 6,RETIREES,Budget,1
1246,8,YOUNG SINGLES/COUPLES,Mainstream,1
1247, 3,RETIREES,Premium,1
1248, 3,RETIREES,Budget,1
1250, 15,OLDER FAMILIES,Budget,1
1254, 15,RETIREES,Budget,1
1256, 3,YOUNG FAMILIES,Mainstream,1
1257, 13,MIDAGE SINGLES/COUPLES,Mainstream,1
1259, 10,YOUNG FAMILIES,Premium,1
1262, 1,RETIREES,Premium,1
1263,3,YOUNG SINGLES/COUPLES,Budget,1
1266, 10,OLDER SINGLES/COUPLES,Mainstream,1
1267,9,YOUNG SINGLES/COUPLES,Mainstream,1
1270, 12,RETIREES,Budget,1
1272, 14,OLDER SINGLES/COUPLES,Premium,1
1273,5,YOUNG SINGLES/COUPLES,Mainstream,1
1274, 13,RETIREES,Mainstream,1
1275, 12,RETIREES,Mainstream,1
1276, 5,MIDAGE SINGLES/COUPLES,Mainstream,1
1277, 14,OLDER SINGLES/COUPLES,Premium,1
1278, 8,NEW FAMILIES,Mainstream,1
1280, 13,OLDER SINGLES/COUPLES,Budget,1
1281, 15,OLDER FAMILIES,Budget,1
1282,6,YOUNG SINGLES/COUPLES,Budget,1
1283, 8,OLDER FAMILIES,Budget,1
1284, 9,YOUNG FAMILIES,Mainstream,1
1285,8,YOUNG SINGLES/COUPLES,Mainstream,1
1286,7,YOUNG SINGLES/COUPLES,Mainstream,1
1287, 11,RETIREES,Mainstream,1
1288, 10,OLDER FAMILIES,Budget,1
1289,7,YOUNG SINGLES/COUPLES,Premium,1
1290, 11,RETIREES,Budget,1
1291,1,YOUNG SINGLES/COUPLES,Mainstream,1
1292, 1,RETIREES,Premium,1
1293, 11,OLDER SINGLES/COUPLES,Budget,1
1294, 14,RETIREES,Budget,1
1297,1,YOUNG SINGLES/COUPLES,Mainstream,1
1298, 6,YOUNG FAMILIES,Mainstream,1
1303,6,YOUNG SINGLES/COUPLES,Mainstream,1
1305,3,YOUNG SINGLES/COUPLES,Budget,1
1306, 11,RETIREES,Budget,1
1307, 4,MIDAGE SINGLES/COUPLES,Budget,1
1308,9,YOUNG SINGLES/COUPLES,Mainstream,1
1310, 3,OLDER SINGLES/COUPLES,Budget,1
1312, 7,OLDER SINGLES/COUPLES,Mainstream,1
1313,10,YOUNG SINGLES/COUPLES,Budget,1
1314,4,YOUNG SINGLES/COUPLES,Budget,1
1317, 10,OLDER FAMILIES,Premium,1
1318, 11,NEW FAMILIES,Mainstream,1
1320,6,YOUNG SINGLES/COUPLES,Premium,1
1324,7,YOUNG SINGLES/COUPLES,Budget,1
1326, 12,RETIREES,Mainstream,1
1327, 7,RETIREES,Mainstream,1
1330, 1,RETIREES,Premium,1
1333, 8,NEW FAMILIES,Budget,1
1335,10,YOUNG SINGLES/COUPLES,Budget,1
1336, 9,RETIREES,Budget,1
1337, 5,RETIREES,Mainstream,1
1338,8,YOUNG SINGLES/COUPLES,Mainstream,1
1339, 1,OLDER FAMILIES,Premium,1
1341, 4,YOUNG FAMILIES,Mainstream,1
1342, 6,RETIREES,Mainstream,1
1343, 1,MIDAGE SINGLES/COUPLES,Budget,1
1345, 5,OLDER SINGLES/COUPLES,Mainstream,1
1346,10,YOUNG SINGLES/COUPLES,Mainstream,1
1347, 4,RETIREES,Mainstream,1
1348, 4,MIDAGE SINGLES/COUPLES,Budget,1
1349, 7,OLDER SINGLES/COUPLES,Budget,1
1350, 5,OLDER FAMILIES,Budget,1
1351,3,YOUNG SINGLES/COUPLES,Budget,1
1352, 10,OLDER SINGLES/COUPLES,Mainstream,1
1353,1,YOUNG SINGLES/COUPLES,Mainstream,1
1354, 15,OLDER SINGLES/COUPLES,Budget,1
1355, 1,MIDAGE SINGLES/COUPLES,Premium,1
1356, 7,OLDER FAMILIES,Premium,1
1357, 8,OLDER SINGLES/COUPLES,Budget,1
1358, 11,OLDER FAMILIES,Mainstream,1
1359,8,YOUNG SINGLES/COUPLES,Mainstream,1
1360,6,YOUNG SINGLES/COUPLES,Mainstream,1
1361, 5,RETIREES,Budget,1
1362, 14,OLDER FAMILIES,Mainstream,1
1363, 1,YOUNG FAMILIES,Budget,1
1364, 9,RETIREES,Premium,1
1365, 10,RETIREES,Mainstream,1
1366, 4,MIDAGE SINGLES/COUPLES,Premium,1
1367, 14,OLDER FAMILIES,Budget,1
1369, 14,NEW FAMILIES,Premium,1
1370, 5,NEW FAMILIES,Budget,1
1373, 6,OLDER FAMILIES,Budget,1
1374, 5,MIDAGE SINGLES/COUPLES,Premium,1
1375, 1,OLDER SINGLES/COUPLES,Premium,1
1376, 1,RETIREES,Mainstream,1
1377, 5,OLDER SINGLES/COUPLES,Premium,1
1378, 10,OLDER SINGLES/COUPLES,Premium,1
1380,3,YOUNG SINGLES/COUPLES,Premium,1
1383,7,YOUNG SINGLES/COUPLES,Mainstream,1
1384,9,YOUNG SINGLES/COUPLES,Budget,1
1385,2,YOUNG SINGLES/COUPLES,Budget,1
1386, 14,OLDER SINGLES/COUPLES,Mainstream,1
1390, 5,YOUNG FAMILIES,Premium,1
1392, 10,YOUNG FAMILIES,Budget,1
1394,1,YOUNG SINGLES/COUPLES,Mainstream,1
1395, 8,MIDAGE SINGLES/COUPLES,Budget,1
1396, 13,MIDAGE SINGLES/COUPLES,Premium,1
1397,3,YOUNG SINGLES/COUPLES,Mainstream,1
1399, 6,MIDAGE SINGLES/COUPLES,Premium,1
1400, 14,RETIREES,Premium,1
1401, 5,NEW FAMILIES,Premium,1
1402,7,YOUNG SINGLES/COUPLES,Mainstream,1
1403, 3,YOUNG FAMILIES,Budget,1
1404, 8,OLDER SINGLES/COUPLES,Mainstream,1
1406, 6,OLDER SINGLES/COUPLES,Premium,1
1407, 5,MIDAGE SINGLES/COUPLES,Mainstream,1
1408, 6,RETIREES,Mainstream,1
1409,8,YOUNG SINGLES/COUPLES,Mainstream,1
1410, 3,RETIREES,Budget,1
1411, 15,MIDAGE SINGLES/COUPLES,Budget,1
1412, 8,OLDER FAMILIES,Mainstream,1
1413, 6,OLDER FAMILIES,Budget,1
1414, 1,RETIREES,Mainstream,1
1415,4,YOUNG SINGLES/COUPLES,Mainstream,1
1417,10,YOUNG SINGLES/COUPLES,Mainstream,1
1418, 6,MIDAGE SINGLES/COUPLES,Premium,1
1419, 10,YOUNG FAMILIES,Budget,1
1420, 14,OLDER FAMILIES,Mainstream,1
1421,6,YOUNG SINGLES/COUPLES,Premium,1
1422, 15,MIDAGE SINGLES/COUPLES,Mainstream,1
1423,2,YOUNG SINGLES/COUPLES,Mainstream,1
1424, 1,RETIREES,Budget,1
1425,5,YOUNG SINGLES/COUPLES,Mainstream,1
1429,8,YOUNG SINGLES/COUPLES,Budget,1
1430, 1,YOUNG FAMILIES,Premium,1
1431, 5,RETIREES,Budget,1
1433, 5,NEW FAMILIES,Budget,1
1434,7,YOUNG SINGLES/COUPLES,Mainstream,1
1436, 7,YOUNG FAMILIES,Premium,1
1437, 9,NEW FAMILIES,Premium,1
1438, 12,NEW FAMILIES,Mainstream,1
1439, 10,YOUNG FAMILIES,Premium,1
1440, 3,RETIREES,Mainstream,1
1443, 5,YOUNG FAMILIES,Budget,1
1444,2,YOUNG SINGLES/COUPLES,Mainstream,1
1446, 9,OLDER FAMILIES,Premium,1
1448, 9,OLDER FAMILIES,Budget,1
1450,8,YOUNG SINGLES/COUPLES,Mainstream,1
1451, 6,MIDAGE SINGLES/COUPLES,Mainstream,1
1452, 12,OLDER FAMILIES,Budget,1
1453,1,YOUNG SINGLES/COUPLES,Premium,1
1454, 3,OLDER SINGLES/COUPLES,Mainstream,1
1455,6,YOUNG SINGLES/COUPLES,Mainstream,1
1456, 7,OLDER FAMILIES,Budget,1
1457,10,YOUNG SINGLES/COUPLES,Budget,1
1459, 11,OLDER FAMILIES,Budget,1
1460,4,YOUNG SINGLES/COUPLES,Premium,1
1461, 7,RETIREES,Mainstream,1
1462,7,YOUNG SINGLES/COUPLES,Premium,1
1463, 5,RETIREES,Mainstream,1
1464, 7,OLDER FAMILIES,Budget,1
1465,8,YOUNG SINGLES/COUPLES,Mainstream,1
1467, 9,OLDER SINGLES/COUPLES,Mainstream,1
1468,2,YOUNG SINGLES/COUPLES,Budget,1
1470, 3,OLDER FAMILIES,Mainstream,1
1471, 1,YOUNG FAMILIES,Mainstream,1
1473, 5,RETIREES,Mainstream,1
1474, 14,OLDER FAMILIES,Budget,1
1475, 15,MIDAGE SINGLES/COUPLES,Budget,1
1477, 13,OLDER FAMILIES,Premium,1
1478,1,YOUNG SINGLES/COUPLES,Budget,1
1480, 8,OLDER SINGLES/COUPLES,Premium,1
1482,5,YOUNG SINGLES/COUPLES,Mainstream,1
1484,6,YOUNG SINGLES/COUPLES,Budget,1
1485, 11,MIDAGE SINGLES/COUPLES,Premium,1
1486, 7,OLDER FAMILIES,Budget,1
1487,4,YOUNG SINGLES/COUPLES,Budget,1
1488, 9,OLDER SINGLES/COUPLES,Budget,1
1489, 4,RETIREES,Budget,1
1490,10,YOUNG SINGLES/COUPLES,Mainstream,1
1491, 2,MIDAGE SINGLES/COUPLES,Budget,1
1494,9,YOUNG SINGLES/COUPLES,Budget,1
1495, 11,MIDAGE SINGLES/COUPLES,Budget,1
1501, 9,RETIREES,Mainstream,1
1502, 4,YOUNG FAMILIES,Mainstream,1
1504, 15,OLDER FAMILIES,Budget,1
2000, 4,NEW FAMILIES,Mainstream,2
2001,1,YOUNG SINGLES/COUPLES,Budget,2
2002, 3,RETIREES,Mainstream,2
2003, 5,NEW FAMILIES,Premium,2
2004, 2,YOUNG FAMILIES,Budget,2
2006, 13,OLDER FAMILIES,Mainstream,2
2008,3,YOUNG SINGLES/COUPLES,Budget,2
2010, 8,NEW FAMILIES,Premium,2
2012, 11,MIDAGE SINGLES/COUPLES,Mainstream,2
2013, 1,RETIREES,Mainstream,2
2015, 9,YOUNG FAMILIES,Premium,2
2017, 15,OLDER FAMILIES,Budget,2
2018, 9,OLDER SINGLES/COUPLES,Mainstream,2
2019,4,YOUNG SINGLES/COUPLES,Budget,2
2020, 5,RETIREES,Premium,2
2022, 2,MIDAGE SINGLES/COUPLES,Premium,2
2023, 14,RETIREES,Mainstream,2
2024,7,YOUNG SINGLES/COUPLES,Budget,2
2025, 1,RETIREES,Premium,2
2026,4,YOUNG SINGLES/COUPLES,Mainstream,2
2027, 9,RETIREES,Budget,2
2030, 7,RETIREES,Premium,2
2032,7,YOUNG SINGLES/COUPLES,Mainstream,2
2033,9,YOUNG SINGLES/COUPLES,Premium,2
2034,9,YOUNG SINGLES/COUPLES,Budget,2
2035, 15,MIDAGE SINGLES/COUPLES,Mainstream,2
2036, 5,NEW FAMILIES,Premium,2
2038,8,YOUNG SINGLES/COUPLES,Mainstream,2
2040, 10,RETIREES,Mainstream,2
2041, 9,OLDER SINGLES/COUPLES,Premium,2
2042,8,YOUNG SINGLES/COUPLES,Premium,2
2043, 14,OLDER FAMILIES,Budget,2
2044, 15,RETIREES,Premium,2
2045,10,YOUNG SINGLES/COUPLES,Budget,2
2047,4,YOUNG SINGLES/COUPLES,Budget,2
2048, 15,NEW FAMILIES,Mainstream,2
2049,5,YOUNG SINGLES/COUPLES,Premium,2
2050, 2,YOUNG FAMILIES,Mainstream,2
2051, 5,OLDER SINGLES/COUPLES,Mainstream,2
2052,3,YOUNG SINGLES/COUPLES,Mainstream,2
2053, 7,NEW FAMILIES,Mainstream,2
2055, 1,YOUNG FAMILIES,Budget,2
2056, 4,RETIREES,Budget,2
2058, 3,MIDAGE SINGLES/COUPLES,Mainstream,2
2059, 6,YOUNG FAMILIES,Budget,2
2060,1,YOUNG SINGLES/COUPLES,Mainstream,2
2069,8,YOUNG SINGLES/COUPLES,Budget,2
2071,5,YOUNG SINGLES/COUPLES,Budget,2
2074, 10,RETIREES,Mainstream,2
2080,8,YOUNG SINGLES/COUPLES,Budget,2
2081, 3,RETIREES,Mainstream,2
2082, 8,OLDER FAMILIES,Mainstream,2
2083, 14,RETIREES,Mainstream,2
2084,7,YOUNG SINGLES/COUPLES,Mainstream,2
2086, 4,RETIREES,Budget,2
2088,4,YOUNG SINGLES/COUPLES,Budget,2
2089, 5,OLDER SINGLES/COUPLES,Budget,2
2090, 3,OLDER SINGLES/COUPLES,Budget,2
2091,7,YOUNG SINGLES/COUPLES,Premium,2
2093, 2,OLDER SINGLES/COUPLES,Mainstream,2
2095, 9,OLDER SINGLES/COUPLES,Premium,2
2096, 5,RETIREES,Budget,2
2097, 4,OLDER SINGLES/COUPLES,Mainstream,2
2098, 5,RETIREES,Mainstream,2
2100,9,YOUNG SINGLES/COUPLES,Mainstream,2
2101, 9,OLDER SINGLES/COUPLES,Mainstream,2
2102,1,YOUNG SINGLES/COUPLES,Budget,2
2103, 2,OLDER FAMILIES,Mainstream,2
2104,6,YOUNG SINGLES/COUPLES,Premium,2
2105,6,YOUNG SINGLES/COUPLES,Mainstream,2
2106,6,YOUNG SINGLES/COUPLES,Premium,2
2107, 5,YOUNG FAMILIES,Mainstream,2
2112, 3,RETIREES,Mainstream,2
2113, 8,YOUNG FAMILIES,Budget,2
2114, 6,YOUNG FAMILIES,Budget,2
2116,7,YOUNG SINGLES/COUPLES,Budget,2
2117, 7,OLDER FAMILIES,Mainstream,2
2119,4,YOUNG SINGLES/COUPLES,Budget,2
2120, 12,OLDER SINGLES/COUPLES,Premium,2
2121,8,YOUNG SINGLES/COUPLES,Mainstream,2
2122,6,YOUNG SINGLES/COUPLES,Premium,2
2123, 6,OLDER SINGLES/COUPLES,Budget,2
2125, 2,RETIREES,Mainstream,2
2129,7,YOUNG SINGLES/COUPLES,Mainstream,2
2130, 12,OLDER FAMILIES,Budget,2
2131,10,YOUNG SINGLES/COUPLES,Mainstream,2
2133, 12,OLDER FAMILIES,Budget,2
2135, 1,RETIREES,Mainstream,2
2136, 9,OLDER SINGLES/COUPLES,Premium,2
2139, 10,MIDAGE SINGLES/COUPLES,Premium,2
2141,6,YOUNG SINGLES/COUPLES,Budget,2
2143, 8,OLDER SINGLES/COUPLES,Mainstream,2
2144, 2,OLDER SINGLES/COUPLES,Budget,2
2146, 8,OLDER FAMILIES,Premium,2
2147, 6,OLDER SINGLES/COUPLES,Premium,2
2148, 13,RETIREES,Budget,2
2149, 12,RETIREES,Budget,2
2150, 12,RETIREES,Budget,2
2153,9,YOUNG SINGLES/COUPLES,Budget,2
2154, 2,OLDER SINGLES/COUPLES,Mainstream,2
2155,7,YOUNG SINGLES/COUPLES,Budget,2
2161,8,YOUNG SINGLES/COUPLES,Mainstream,2
2163, 13,OLDER FAMILIES,Premium,2
2164,8,YOUNG SINGLES/COUPLES,Mainstream,2
2166, 12,OLDER SINGLES/COUPLES,Premium,2
2167, 15,OLDER SINGLES/COUPLES,Mainstream,2
2168, 11,OLDER SINGLES/COUPLES,Mainstream,2
2169,8,YOUNG SINGLES/COUPLES,Premium,2
2170,2,YOUNG SINGLES/COUPLES,Mainstream,2
2172, 14,OLDER FAMILIES,Premium,2
2173, 9,OLDER FAMILIES,Budget,2
2175, 9,OLDER SINGLES/COUPLES,Mainstream,2
2176,8,YOUNG SINGLES/COUPLES,Mainstream,2
2178, 3,OLDER SINGLES/COUPLES,Mainstream,2
2180, 6,YOUNG FAMILIES,Budget,2
2181,2,YOUNG SINGLES/COUPLES,Mainstream,2
2182, 9,OLDER SINGLES/COUPLES,Premium,2
2183, 13,OLDER FAMILIES,Mainstream,2
2184,4,YOUNG SINGLES/COUPLES,Mainstream,2
2185, 4,YOUNG FAMILIES,Budget,2
2186, 1,OLDER FAMILIES,Mainstream,2
2188,4,YOUNG SINGLES/COUPLES,Mainstream,2
2190,9,YOUNG SINGLES/COUPLES,Mainstream,2
2191, 8,OLDER FAMILIES,Budget,2
2194, 4,MIDAGE SINGLES/COUPLES,Premium,2
2196, 5,YOUNG FAMILIES,Budget,2
2198, 15,MIDAGE SINGLES/COUPLES,Mainstream,2
2199, 10,OLDER SINGLES/COUPLES,Mainstream,2
2200, 1,RETIREES,Budget,2
2202,10,YOUNG SINGLES/COUPLES,Budget,2
2203, 1,MIDAGE SINGLES/COUPLES,Budget,2
2205, 9,RETIREES,Mainstream,2
2210,1,YOUNG SINGLES/COUPLES,Mainstream,2
2211, 3,OLDER SINGLES/COUPLES,Budget,2
2214, 13,OLDER SINGLES/COUPLES,Mainstream,2
2216, 5,OLDER SINGLES/COUPLES,Premium,2
2217, 8,RETIREES,Mainstream,2
2218,1,YOUNG SINGLES/COUPLES,Budget,2
2219, 4,OLDER SINGLES/COUPLES,Budget,2
2220, 13,OLDER FAMILIES,Budget,2
2222, 12,MIDAGE SINGLES/COUPLES,Mainstream,2
2223, 15,NEW FAMILIES,Premium,2
2224,6,YOUNG SINGLES/COUPLES,Mainstream,2
2225, 13,MIDAGE SINGLES/COUPLES,Mainstream,2
2226, 9,OLDER FAMILIES,Budget,2
2227, 14,RETIREES,Mainstream,2
2230, 5,RETIREES,Premium,2
2231, 13,MIDAGE SINGLES/COUPLES,Premium,2
2232, 10,MIDAGE SINGLES/COUPLES,Mainstream,2
2233, 8,OLDER SINGLES/COUPLES,Budget,2
2234, 12,NEW FAMILIES,Mainstream,2
2236, 5,OLDER SINGLES/COUPLES,Budget,2
2237,1,YOUNG SINGLES/COUPLES,Mainstream,2
2238, 6,RETIREES,Mainstream,2
2240, 13,OLDER SINGLES/COUPLES,Budget,2
2242, 2,OLDER SINGLES/COUPLES,Budget,2
2244,7,YOUNG SINGLES/COUPLES,Budget,2
2245, 13,OLDER FAMILIES,Budget,2
2246, 15,MIDAGE SINGLES/COUPLES,Premium,2
2247,4,YOUNG SINGLES/COUPLES,Premium,2
2248, 7,RETIREES,Mainstream,2
2250,8,YOUNG SINGLES/COUPLES,Mainstream,2
2253, 15,RETIREES,Budget,2
2254,1,YOUNG SINGLES/COUPLES,Mainstream,2
2255, 12,OLDER SINGLES/COUPLES,Budget,2
2256, 7,MIDAGE SINGLES/COUPLES,Budget,2
2257, 11,OLDER SINGLES/COUPLES,Premium,2
2258, 11,OLDER FAMILIES,Budget,2
2259, 9,YOUNG FAMILIES,Premium,2
2260, 9,YOUNG FAMILIES,Mainstream,2
2262,6,YOUNG SINGLES/COUPLES,Premium,2
2265, 12,RETIREES,Budget,2
2270,5,YOUNG SINGLES/COUPLES,Budget,2
2272,6,YOUNG SINGLES/COUPLES,Budget,2
2273,5,YOUNG SINGLES/COUPLES,Mainstream,2
2274, 3,YOUNG FAMILIES,Mainstream,2
2277,4,YOUNG SINGLES/COUPLES,Mainstream,2
2278, 3,RETIREES,Premium,2
2279, 14,OLDER SINGLES/COUPLES,Premium,2
2280, 6,OLDER SINGLES/COUPLES,Premium,2
2281, 13,RETIREES,Mainstream,2
2283, 1,RETIREES,Budget,2
2285,2,YOUNG SINGLES/COUPLES,Mainstream,2
2286,5,YOUNG SINGLES/COUPLES,Premium,2
2287, 7,RETIREES,Mainstream,2
2288,4,YOUNG SINGLES/COUPLES,Mainstream,2
2292, 1,YOUNG FAMILIES,Budget,2
2294, 8,MIDAGE SINGLES/COUPLES,Mainstream,2
2295,3,YOUNG SINGLES/COUPLES,Premium,2
2298, 15,RETIREES,Mainstream,2
2302, 9,RETIREES,Mainstream,2
2303, 13,RETIREES,Mainstream,2
2304, 11,OLDER SINGLES/COUPLES,Budget,2
2305, 6,RETIREES,Premium,2
